,index,id,attach_dist,is_attached,is_contained,is_matched,match_ids,match_overlaps,reco_primary_pix,reco_total_pix,reco_primary_deposition,reco_total_deposition,true_primary_pix,true_total_pix,true_primary_deposition,true_total_deposition,ke,true_ke
0,0,48,0.29998779296875,True,True,True,[73 29],[0.7903226 0.0048   ],55,55,16.164878845214844,16.164878845214844,56,56,15.639348030090332,15.639348030090332,19.978174209594727,19.22094893128757
1,0,132,0.29998779296875,True,True,True,[109],[0.01128205],12,12,4.305208683013916,4.305208683013916,-1,-1,-1.0,-1.0,5.320807456970215,-1.0
2,0,134,0.29998779296875,True,False,True,[110],[0.75789475],79,79,15.404046058654785,15.404046058654785,88,88,18.58305549621582,18.58305549621582,19.037860870361328,38.37010783042622
3,2,83,0.3000030517578125,True,False,True,[49 15],[0.61538464 0.0007761 ],12,12,4.530571460723877,4.530571460723877,9,9,2.5823633670806885,2.5823633670806885,5.5993332862854,5.864058358467177
4,3,117,0.29998779296875,True,True,True,[122],[0.46153846],7,7,4.0364603996276855,4.0364603996276855,-1,-1,-1.0,-1.0,4.988661766052246,-1.0
5,4,86,0.29998779296875,True,True,True,[31 21],[0.7598425  0.01341589],215,215,50.62742233276367,50.62742233276367,232,232,39.02340316772461,39.02340316772461,62.5704345703125,46.803795477750285
6,6,42,1.20001220703125,True,False,True,[88],[0.7929293],172,174,27.62889862060547,28.29085350036621,181,181,34.6728515625,34.6728515625,34.96466827392578,48.55628825915977
7,6,44,0.29998779296875,True,False,True,[104],[0.84210527],123,123,21.106218338012695,21.106218338012695,122,122,25.1330623626709,25.1330623626709,26.085176467895508,37.49884994504109
8,7,1,0.29999542236328125,True,False,True,[54],[0.73239434],53,53,17.298545837402344,17.298545837402344,70,70,15.531941413879395,15.531941413879395,21.379274368286133,39.32046373909194
9,7,109,0.8999633814933624,True,True,True,[92],[0.76510066],43,119,12.79790210723877,38.11143112182617,49,144,16.054338455200195,40.868099212646484,47.10192108154297,46.28344243094719
10,8,79,0.29998779296875,True,False,True,[46],[0.76811594],33,61,11.073867797851562,20.395341873168945,32,61,11.586884498596191,20.54351806640625,25.20660400390625,25.514433853186745
11,9,40,0.3000030517578125,True,False,True,[24],[0.00486618],6,6,2.9802303314208984,2.9802303314208984,-1,-1,-1.0,-1.0,3.6832668781280518,-1.0
12,9,93,0.29998779296875,True,False,True,[98],[0.80536914],107,134,18.838516235351562,23.919437408447266,110,135,20.205665588378906,26.889400482177734,29.562034606933594,32.26697464954089
13,10,62,0.29998779296875,True,False,True,[46],[0.7329193],146,146,38.65751266479492,38.65751266479492,133,133,33.01887512207031,33.01887512207031,47.77682113647461,40.97551714880519
14,10,67,0.848493610725557,True,True,True,[48],[0.9050633],150,150,44.916831970214844,44.916831970214844,151,151,35.77656555175781,35.77656555175781,55.51271438598633,48.12820967564382
15,11,23,0.2999267578125,True,True,True,[96],[0.75409836],18,97,4.325456619262695,20.835521697998047,34,117,7.935769081115723,29.358503341674805,25.750621795654297,33.70822038808276
