,index,id,attach_dist,is_attached,is_contained,is_matched,match_ids,match_overlaps,primary_pix,total_pix,primary_deposition,total_deposition,ke
0,0,73,0.29998779296875,True,True,True,[48 49],[0.7903226  0.00155521],56,56,15.639348030090332,15.639348030090332,19.22094893128757
1,0,110,0.29998779296875,True,False,True,[134 135],[0.75789475 0.0242915 ],88,88,18.58305549621582,18.58305549621582,38.37010783042622
2,0,146,0.29998779296875,True,True,True,[79],[0.00078064],32,32,7.247015476226807,7.247015476226807,11.414430003471052
3,1,64,0.29998779296875,True,True,True,[116],[0.27450982],20,20,4.9681782722473145,4.9681782722473145,16.85897106700873
4,1,72,0.2999267578125,True,False,True,[155],[0.4292453],96,96,21.34430503845215,21.34430503845215,48.605693703633136
5,2,49,0.60003662109375,True,True,True,[83],[0.61538464],9,9,2.5823633670806885,2.5823633670806885,5.864058358467177
6,2,98,inf,False,False,True,[4],[0.8080808],48,92,9.01311206817627,20.38825798034668,32.09442516515196
7,3,95,inf,False,True,True,[116],[0.9032258],175,175,39.92387390136719,39.92387390136719,50.3013183306223
8,3,122,0.300048828125,True,True,True,[117 119],[0.46153846 0.00322581],12,12,4.05421257019043,4.05421257019043,38.277042003346274
9,4,31,0.29998779296875,True,True,True,[86],[0.7598425],232,232,39.02340316772461,39.02340316772461,46.803795477750285
10,6,42,0.29998779296875,True,True,True,[71 72],[0.7864583  0.00091827],8,179,1.7170214653015137,43.890419006347656,49.439233464806485
11,6,88,1.122508634975474,True,False,True,[42],[0.7929293],181,181,34.6728515625,34.6728515625,48.55628825915977
12,6,104,0.29998779296875,True,True,True,[44 45],[0.84210527 0.00390117],122,122,25.1330623626709,25.1330623626709,37.49884994504109
13,7,54,1.1999969482421875,True,True,True,[1 2],[0.73239434 0.00600601],70,70,15.531941413879395,15.531941413879395,39.32046373909194
14,7,92,0.3000030517578125,True,True,True,[109 110],[0.76510066 0.00181653],49,144,16.054338455200195,40.868099212646484,46.28344243094719
15,8,46,0.29998779296875,True,False,True,[79 81],[7.6811594e-01 7.2411296e-04],32,61,11.586884498596191,20.54351806640625,25.514433853186745
16,8,71,inf,False,False,True,[17 16],[0.47826087 0.38043478],28,88,5.670960903167725,25.670169830322266,50.25375594937577
17,9,98,0.29998779296875,True,True,True,[93 95],[0.80536914 0.00221239],110,135,20.205665588378906,26.889400482177734,32.26697464954089
18,10,46,0.29998779296875,True,True,True,[62 66],[0.7329193  0.00331911],133,133,33.01887512207031,33.01887512207031,40.97551714880519
19,10,48,0.848493610725557,True,True,True,[ 67 105],[0.9050633  0.00662252],151,151,35.77656555175781,35.77656555175781,48.12820967564382
